v2_headline,period_start,price_direction
bitcoin uptick leads growth daily transactions,2021-04-12,up
gold rise dollar inflation report,2021-04-12,up
ethereum make new highs,2021-04-12,up
ether hit new highs eve coinbase listing,2021-04-12,up
bitcoin bitfinex hack,2021-04-12,up
coinbase marks ipo memo bitcoin blockchain,2021-04-12,up
blackrock ceo watching closely,2021-04-12,up
axa switzerland allows customers pay bitcoin,2021-04-12,up
accidents chinese coal mines affecting bitcoin mining,2021-04-12,up
rothschild investment adds surpassing bitcoin holdings,2021-04-12,up
bitcoin price drops turkey bans crypto payments amid currency crisis,2021-04-12,up
dogecoin next probably,2021-04-12,up
bitcoin crashes accident china halts mining operation,2021-04-12,up
bitcoin price falls altcoins crash,2021-04-12,up
three reasons bitcoin dropped last night,2021-04-12,up
bitcoin price could rebound despite flash crash,2021-04-19,down
central bank china may regulate bitcoin,2021-04-19,down
cryptocurrency price dogecoin soars bitcoin rebounds,2021-04-19,down
tether premium us dollar returns latest,2021-04-19,down
wework add bitcoin balance sheet,2021-04-19,down
bitcoin rests tests narrative,2021-04-19,down
bitcoin breaks critical support xrp attempt recovery,2021-04-19,down
bitcoin bulls back free speech platform million investment,2021-04-19,down
bitcoin transactions expensive ever,2021-04-19,down
everything want costs including bitcoin,2021-04-19,down
bitcoin price decline heads worst week since february,2021-04-19,down
unlocking opportunities limitations,2021-04-19,down
market bitcoin dominance ether hits fresh record high,2021-04-19,down
ark investment makes case greener bitcoin,2021-04-19,down
morgan stanley bitcoin fund draws filings show,2021-04-19,down
despite price narrative stack funds says,2021-04-19,down
bitcoin energy,2021-04-19,down
market bitcoin steadies market cap dump taxation trepidation,2021-04-19,down
xrp enter downtrend signs slowing,2021-04-19,down
bitcoin breaks market continues,2021-04-19,down
drop proposed tax hike bcb ceo says,2021-04-19,down
tax plan shines spotlight bitcoin borrowing services,2021-04-19,down
pattern bitcoin volatility,2021-04-19,down
market bitcoin bounces ether fees drop average past week,2021-04-26,up
jpmorgan may launch bitcoin fund summer,2021-04-26,up
jpmorgan let clients invest bitcoin fund first sources,2021-04-26,up
bitcoin bounces back faces stiff resistance ahead,2021-04-26,up
bitcoin snaps losing climbs,2021-04-26,up
bitcoin price jumps since early march,2021-04-26,up
elon tesla sold bitcoin proceeds,2021-04-26,up
bitcoin options market eyes expiries friday,2021-04-26,up
tesla sells bitcoin,2021-04-26,up
coindesk digital assets cryptocurrencies,2021-04-26,up
market bitcoin ether hits new high,2021-04-26,up
market bitcoin stays near ether hits record price,2021-04-26,up
asian video game publisher nexon buys bitcoin,2021-04-26,up
facebook buy crypto whales,2021-04-26,up
bitcoin track worst month since september,2021-04-26,up
hitting new gets quoted bitcoin terms,2021-04-26,up
market bitcoin near major drop ether tops first time,2021-04-26,up
institutions finally turning ethereum,2021-04-26,up
michael bitcoin bet money wars come,2021-04-26,up
bitcoin crash know,2021-04-26,up
market bitcoin hits options ether steadies,2021-04-26,up
bitcoin like needs,2021-04-26,up
martin author crypto currency news,2021-04-26,up
archives,2021-04-26,up
bitcoin cash archives,2021-04-26,up
bitcoin mining difficulty sees largest downward adjustment year,2021-04-26,up
ankit author crypto currency news,2021-04-26,up
arbitrum archives,2021-04-26,up
kevin archives,2021-04-26,up
carl icahn archives,2021-04-26,up
price bitcoin price,2021-04-26,up
bitcoin news archives,2021-04-26,up
bitcoin taproot upgrade started speedy trial,2021-04-26,up
potential collateral class,2021-04-26,up
bitcoin price index,2021-05-03,up
bitcoin holds faces resistance,2021-05-03,up
accept bitcoin next banksy auction,2021-05-03,up
bitcoin ethereum indices debut dow jones,2021-05-03,up
bitcoin fog indictment shows permanence user data,2021-05-03,up
giant mercadolibre discloses bitcoin buy,2021-05-03,up
market ethereum classic steals show even doge,2021-05-03,up
uk users finally withdraw bitcoin personal wallets,2021-05-03,up
bitcoin price approaches keep eye,2021-05-03,up
bitcoin coming us bank near says nydig,2021-05-03,up
defi disruptive banks says ing,2021-05-03,up
goldman sachs offering bitcoin derivatives investors,2021-05-03,up
bitcoin options traders leaning bearish despite price recovery,2021-05-03,up
bitcoin holds faces resistance,2021-05-03,up
marathon miners started censoring bitcoin means,2021-05-03,up
taproot upgrade matters,2021-05-03,up
bitcoin drops low quick,2021-05-10,down
ubs exploring bitcoin offerings wealthy report,2021-05-10,down
bitcoin stalls could face lower support,2021-05-10,down
nic virgin bitcoin fallacy,2021-05-10,down
bitcoin stabilizes faces resistance,2021-05-10,down
bitcoin pullback risk rises whales resume selling,2021-05-10,down
palantir accepts mulling report,2021-05-10,down
panetta claims bitcoin threatens global sustainability efforts,2021-05-10,down
sec staff hints etf calls bitcoin,2021-05-10,down
peter palantir accepts bitcoin treasury investment,2021-05-10,down
elon musk says tesla suspending bitcoin payments environmental concerns,2021-05-10,down
bitcoin risk correction technical analyst says,2021-05-10,down
bitcoin adoption keeps growing alt blockchain data shows,2021-05-10,down
moneygram offer bitcoin kiosks,2021-05-10,down
uk court let craig wright serve claims bitcoin developers,2021-05-10,down
bitcoin struggles near could find support,2021-05-10,down
moneygram allow bitcoin buying selling across retail network,2021-05-10,down
frances bitcoin priced sats,2021-05-10,down
crypto market tumbles tesla halts bitcoin payments,2021-05-10,down
bitcoin miner argo blockchain purchases data centers canada,2021-05-10,down
bitcoin could stabilize around support,2021-05-10,down
mining difficulty hits new taproot begins second attempt,2021-05-10,down
bitcoin plunges tesla halts btc payments environmental concerns,2021-05-10,down
bitcoin makes weak bounce tesla blow pullback may analyst,2021-05-10,down
tesla retreat stop mcglone,2021-05-10,down
microstrategy keeps buying adds another,2021-05-10,down
ethereum market cap half size bitcoin,2021-05-10,down
bitcoin wallet used darkside ransom payments elliptic,2021-05-10,down
bsv price index live chart,2021-05-10,down
bitcoin stabilizes faces resistance near,2021-05-10,down
xlm live price index chart coindesk,2021-05-10,down
ltc price index live chart coindesk,2021-05-10,down
cryptocurrency options market makers influence bitcoin price,2021-05-10,down
ether dive alternative cryptocurrencies hit record highs,2021-05-10,down
bitcoin drops musk suggests tesla may sell says yet,2021-05-10,down
reversal good bitcoin,2021-05-10,down
bitcoin suffers biggest pullback low,2021-05-17,down
market elon taketh away bitcoin continues fall options traders pile puts,2021-05-17,down
bitcoin newbies old pros appear buy dip,2021-05-17,down
bitcoin holds faces resistance,2021-05-17,down
bitcoin rebounds elon musk tweets,2021-05-17,down
bitcoin stabilizes faces resistance around,2021-05-17,down
ethereum staking drop power consumption,2021-05-17,down
sushi sell tokenized sake initial offering launchpad,2021-05-17,down
bitcoin market amid price plunge,2021-05-17,down
another another bitcoin purchase,2021-05-17,down
book bobby bitcoin awakening,2021-05-17,down
backwardation differs bitcoin oil futures,2021-05-17,down
bitcoin chart indicator suggests worst pullback may,2021-05-17,down
fox unveils nft blockchain creative labs,2021-05-17,down
long bitcoin crowded bank america survey,2021-05-17,down
crypto exchanges see bitcoin inflows since march,2021-05-17,down
bitcoin drops high,2021-05-17,down
blockfi mistakenly sends users large bitcoin payments,2021-05-17,down
sour sentiment wall street accelerated plunge,2021-05-17,down
bitcoin plummets,2021-05-17,down
bitcoin plunge triggers liquidations,2021-05-17,down
bitcoin breaks next support intermediate trend turns bearish,2021-05-17,down
celo hard fork adds interoperability near,2021-05-17,down
market capitulation city bitcoin dumps eth reversal,2021-05-17,down
ark cathie wood says bitcoin go,2021-05-17,down
taproot upgrade actually,2021-05-17,down
blockfi botches promo outsized bitcoin reward payments,2021-05-17,down
bitcoin price plunge like says novogratz,2021-05-17,down
judge allows sec seek info overseas xrp transactions,2021-05-17,down
treasury calls bitcoin transfers disclosed irs,2021-05-17,down
bitcoin remains faces resistance,2021-05-17,down
bitcoin trades rebound rally stalls,2021-05-17,down
etf provider teucrium trading files bitcoin futures etp,2021-05-17,down
occ warns fraudulent emails seeking bitcoin wallet keys,2021-05-17,down
solana surges news coinbase pro listing,2021-05-17,down
fitness guru jillian michaels backs dogecoin,2021-05-17,down
problems abound bsc bunny finance suffers attack,2021-05-17,down
chinese bitcoin mining company invests new facility texas,2021-05-17,down
red bull racing team use tezos first nft drop,2021-05-17,down
bitcoin back nearly recovers losses,2021-05-17,down
bitcoin holders show signs optimism despite dip,2021-05-17,down
greenpeace stops accepting bitcoin cites high energy use,2021-05-17,down
sichuan energy authorities discuss bitcoin mining ban,2021-05-17,down
canadian bitcoin etf provider went high alert crypto crash halted futures trading,2021-05-17,down
bitcoin falls chinese official calls mining crackdown,2021-05-17,down
bitcoin stabilizes faces resistance,2021-05-17,down
institutional bitcoin buying spiked around crash,2021-05-17,down
saturday bitcoin pizza take part,2021-05-17,down
bitmex commit becoming carbon neutral,2021-05-17,down
market china breaks crypto bitcoin falls eth drops two hours,2021-05-17,down
ethereum miners earn record amid eth crash,2021-05-17,down
yield farmers migrating polygon,2021-05-17,down
cme climbs place bitcoin futures exchanges,2021-05-17,down
government calls information etherdelta hack,2021-05-17,down
ray wall shares bitcoin mind,2021-05-17,down
bitcoin tumbles china issues yet another threat,2021-05-17,down
staff biggest dutch pizza franchise paid bitcoin,2021-05-17,down
cardano close launching smart charles hoskinson,2021-05-17,down
blockstream buys adamant expansion bitcoin investment products,2021-05-17,down
huobi scales back due china bitcoin falls ether past,2021-05-17,down
ether last ath rout resumes,2021-05-17,down
crypto market continues slide week chaos,2021-05-17,down
